page_id,category,category_page,title,pose_range,first_pose_id,last_pose_id,webp_path,png_path,source_filename
PAGE-01,ST,1,POSE ATLAS · STANDING · 01,ST-001–ST-016,ST-001,ST-016,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,站姿姿态图谱_16式参考合集.png
PAGE-02,ST,2,POSE ATLAS · STANDING · 02,ST-017–ST-032,ST-017,ST-032,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,站立姿态图谱_02系列.png
PAGE-03,ST,3,POSE ATLAS · STANDING · 03,ST-033–ST-048,ST-033,ST-048,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,站立姿态图鉴_03.png
PAGE-04,ST,4,POSE ATLAS · STANDING · 04,ST-049–ST-064,ST-049,ST-064,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,站立姿态参考图集_04.png
PAGE-05,ST,5,POSE ATLAS · STANDING · 05,ST-065–ST-080,ST-065,ST-080,assets/contact-sheets/ST-05.webp,assets/contact-sheets-png/PAGE-05_ST-05_ST-065_to_ST-080.webp,站姿姿势图鉴_16格棚拍合集.png
PAGE-06,ST,6,POSE ATLAS · STANDING · 06,ST-081–ST-096,ST-081,ST-096,assets/contact-sheets/ST-06.webp,assets/contact-sheets-png/PAGE-06_ST-06_ST-081_to_ST-096.webp,站立姿态图集_st_081至st_096.png
PAGE-07,ST,7,POSE ATLAS · STANDING · 07,ST-097–ST-112,ST-097,ST-112,assets/contact-sheets/ST-07.webp,assets/contact-sheets-png/PAGE-07_ST-07_ST-097_to_ST-112.webp,灰色影棚站姿图谱_07.png
PAGE-08,SI,1,POSE ATLAS · SITTING · 01,SI-001–SI-016,SI-001,SI-016,assets/contact-sheets/SI-01.webp,assets/contact-sheets-png/PAGE-08_SI-01_SI-001_to_SI-016.webp,坐姿姿态图谱_01.png
PAGE-09,SI,2,POSE ATLAS · SITTING · 02,SI-017–SI-032,SI-017,SI-032,assets/contact-sheets/SI-02.webp,assets/contact-sheets-png/PAGE-09_SI-02_SI-017_to_SI-032.webp,坐姿姿态图鉴_02.png
PAGE-10,SI,3,POSE ATLAS · SITTING · 03,SI-033–SI-048,SI-033,SI-048,assets/contact-sheets/SI-03.webp,assets/contact-sheets-png/PAGE-10_SI-03_SI-033_to_SI-048.webp,坐姿姿态图鉴_16种棚拍造型.png
PAGE-11,SI,4,POSE ATLAS · SITTING · 04,SI-049–SI-064,SI-049,SI-064,assets/contact-sheets/SI-04.webp,assets/contact-sheets-png/PAGE-11_SI-04_SI-049_to_SI-064.webp,坐姿姿态图集_si_049至si_064.png
PAGE-12,KN,1,POSE ATLAS · KNEELING · 01,KN-001–KN-016,KN-001,KN-016,assets/contact-sheets/KN-01.webp,assets/contact-sheets-png/PAGE-12_KN-01_KN-001_to_KN-016.webp,跪姿摄影姿势图集.png
PAGE-13,KN,2,POSE ATLAS · KNEELING · 02,KN-017–KN-032,KN-017,KN-032,assets/contact-sheets/KN-02.webp,assets/contact-sheets-png/PAGE-13_KN-02_KN-017_to_KN-032.webp,跪姿姿态图集_16种棚拍造型.png
PAGE-14,KN,3,POSE ATLAS · KNEELING · 03,KN-033–KN-048,KN-033,KN-048,assets/contact-sheets/KN-03.webp,assets/contact-sheets-png/PAGE-14_KN-03_KN-033_to_KN-048.webp,跪姿姿态图谱_03.png
PAGE-15,KN,4,POSE ATLAS · KNEELING · 04,KN-049–KN-064,KN-049,KN-064,assets/contact-sheets/KN-04.webp,assets/contact-sheets-png/PAGE-15_KN-04_KN-049_to_KN-064.webp,跪姿造型图集_16组姿态.png
PAGE-16,SQ,1,POSE ATLAS · SQUATTING · 01,SQ-001–SQ-016,SQ-001,SQ-016,assets/contact-sheets/SQ-01.webp,assets/contact-sheets-png/PAGE-16_SQ-01_SQ-001_to_SQ-016.webp,蹲姿姿势图谱_01.png
PAGE-17,SQ,2,POSE ATLAS · SQUATTING · 02,SQ-017–SQ-032,SQ-017,SQ-032,assets/contact-sheets/SQ-02.webp,assets/contact-sheets-png/PAGE-17_SQ-02_SQ-017_to_SQ-032.webp,蹲姿参考图谱_16款棚拍姿势.png
PAGE-18,SQ,3,POSE ATLAS · SQUATTING · 03,SQ-033–SQ-048,SQ-033,SQ-048,assets/contact-sheets/SQ-03.webp,assets/contact-sheets-png/PAGE-18_SQ-03_SQ-033_to_SQ-048.webp,蹲姿动作图谱海报.png
PAGE-19,FL,1,POSE ATLAS · FLOOR · 01,FL-001–FL-016,FL-001,FL-016,assets/contact-sheets/FL-01.webp,assets/contact-sheets-png/PAGE-19_FL-01_FL-001_to_FL-016.webp,灰色影棚地面姿势图集.png
