pose_id,page_id,category,category_page,title,page_image_path,page_image_png_path,pose_index_in_page,short_name
ST-001,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,1,单腿承重S线
ST-002,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,2,脚踝交叉松弛站
ST-003,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,3,宽距力量站
ST-004,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,4,前后脚错位扭转
ST-005,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,5,古典Contrapposto
ST-006,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,6,侧推胯单臂过头
ST-007,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,7,窄站垂直拉长
ST-008,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,8,肩部引导对角线
ST-009,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,9,站姿后弓开胸
ST-010,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,10,侧弯上举延展
ST-011,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,11,前倾扶腿
ST-012,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,12,单膝内扣时装站
ST-013,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,13,脚尖前点
ST-014,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,14,脚尖侧点
ST-015,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,15,单侧提踵
ST-016,PAGE-01,ST,1,POSE ATLAS · STANDING · 01,assets/contact-sheets/ST-01.webp,assets/contact-sheets-png/PAGE-01_ST-01_ST-001_to_ST-016.webp,16,高位交叉腿站
ST-017,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,1,无墙假倚靠
ST-018,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,2,胸胯螺旋
ST-019,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,3,仰头胸腔打开
ST-020,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,4,手后脑侧弧
ST-021,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,5,双臂过头椭圆
ST-022,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,6,横臂收拢站
ST-023,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,7,向镜头单臂前伸
ST-024,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,8,侧向大延展
ST-025,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,9,背身回头站
ST-026,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,10,三分之二背身推胯
ST-027,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,11,双手扶腰角度站
ST-028,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,12,抱臂收拢站
ST-029,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,13,落肩不对称站
ST-030,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,14,低位髋折前倾
ST-031,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,15,侧步定格
ST-032,PAGE-02,ST,2,POSE ATLAS · STANDING · 02,assets/contact-sheets/ST-02.webp,assets/contact-sheets-png/PAGE-02_ST-02_ST-017_to_ST-032.webp,16,窄距跟尖错位
ST-033,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,1,秀场停步
ST-034,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,2,单腿后屈
ST-035,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,3,胸胯反向侧移
ST-036,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,4,单腿后点支撑·胸胯反向S线
ST-037,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,5,单腿后点支撑·肩线下压对角
ST-038,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,6,单腿后点支撑·侧弯连续弧
ST-039,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,7,单腿后点支撑·胸腔上提后弓
ST-040,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,8,单腿后点支撑·髋折前倾
ST-041,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,9,单腿后点支撑·胸胯螺旋扭转
ST-042,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,10,单腿后点支撑·纵向拔高非对称
ST-043,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,11,单腿侧点支撑·胸胯反向S线
ST-044,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,12,单腿侧点支撑·肩线下压对角
ST-045,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,13,单腿侧点支撑·侧弯连续弧
ST-046,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,14,单腿侧点支撑·胸腔上提后弓
ST-047,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,15,单腿侧点支撑·髋折前倾
ST-048,PAGE-03,ST,3,POSE ATLAS · STANDING · 03,assets/contact-sheets/ST-03.webp,assets/contact-sheets-png/PAGE-03_ST-03_ST-033_to_ST-048.webp,16,单腿侧点支撑·胸胯螺旋扭转
ST-049,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,1,单腿侧点支撑·纵向拔高非对称
ST-050,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,2,前后宽错步·胸胯反向S线
ST-051,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,3,前后宽错步·肩线下压对角
ST-052,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,4,前后宽错步·侧弯连续弧
ST-053,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,5,前后宽错步·胸腔上提后弓
ST-054,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,6,前后宽错步·髋折前倾
ST-055,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,7,前后宽错步·胸胯螺旋扭转
ST-056,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,8,前后宽错步·纵向拔高非对称
ST-057,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,9,窄距前后错步·胸胯反向S线
ST-058,PAGE-04,ST,4,POSE ATLAS · STANDING · 04,assets/contact-sheets/ST-04.webp,assets/contact-sheets-png/PAGE-04_ST-04_ST-049_to_ST-064.webp,10,窄距前后错步·肩线下压对角
